parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
21F,21Ne,b-,9,12,0.0,5/2,1,10,11,0.0,3/2,1,9.6,3.0,5.67,0.16,0.013139915,0.004840924,0.368413615,True,5,3,0.0,False,-1.0
21F,21Ne,b-,9,12,0.0,5/2,1,10,11,1745.91,7/2,1,16.1,1.0,4.72,0.03,0.117109616,0.008089646,0.069077553,True,5,7,0.0,False,1.0
21F,21Ne,b-,9,12,0.0,5/2,1,10,11,3735.59,5/2,2,0.003,0.0,7.11,0.05,0.000477081,5.4926e-05,0.115129255,True,5,5,0.0,False,0.0
21F,21Ne,b-,9,12,0.0,5/2,1,10,11,4525.56,5/2,3,0.043,0.003,5.02,0.03,0.058693844,0.004054427,0.069077553,True,5,5,0.0,False,0.0
21F,21Ne,b-,9,12,0.0,5/2,1,10,11,4684.56,3/2,2,0.077,0.04,4.5,0.3,0.194353585,0.1342547,0.690775528,True,5,3,0.0,False,-1.0
22F,22Ne,b-,9,13,0.0,4,1,10,12,3357.2,4,1,3.1,0.6,6.7,0.1,0.001226288,0.000282363,0.230258509,True,8,8,0.0,False,0.0
22F,22Ne,b-,9,13,0.0,4,1,10,12,5523.3,4,2,53.9,0.6,4.79,0.01,0.099676449,0.002295135,0.023025851,True,8,8,0.0,False,0.0
22F,22Ne,b-,9,13,0.0,4,1,10,12,5641.2,3,1,16.4,0.7,5.26,0.02,0.033774782,0.001555386,0.046051702,True,8,6,0.0,False,-1.0
22F,22Ne,b-,9,13,0.0,4,1,10,12,6345.0,4,3,7.0,0.3,5.34,0.02,0.02809264,0.001293714,0.046051702,True,8,8,0.0,False,0.0
22F,22Ne,b-,9,13,0.0,4,1,10,12,7341.0,4,4,2.45,0.22,5.3,0.04,0.030802967,0.002837058,0.092103404,True,8,8,0.0,False,0.0
23F,23Ne,b-,9,14,0.0,5/2,1,10,13,0.0,5/2,1,30.0,8.0,5.72,0.16,0.011710962,0.004314478,0.368413615,True,5,5,0.0,False,0.0
23F,23Ne,b-,9,14,0.0,5/2,1,10,13,1822.0,3/2,1,10.9,0.1,5.66,0.11,0.013445983,0.003405657,0.25328436,True,5,3,0.0,False,-1.0
23F,23Ne,b-,9,14,0.0,5/2,1,10,13,2314.8,5/2,1,6.3,0.1,5.75,0.15,0.010929305,0.003774848,0.345387764,True,5,5,0.0,False,0.0
23F,23Ne,b-,9,14,0.0,5/2,1,10,13,3431.8,3/2,2,15.2,1.2,4.96,0.08,0.06738955,0.012413614,0.184206807,True,5,3,0.0,False,-1.0
23F,23Ne,b-,9,14,0.0,5/2,1,10,13,3830.7,3/2,3,25.0,4.0,4.58,0.12,0.161656271,0.044667278,0.276310211,True,5,3,0.0,False,-1.0
23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,0.0,3/2,1,66.9,1.3,5.27,0.02,0.033005974,0.001519981,0.046051702,True,5,3,0.0,False,-1.0
23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,439.99,5/2,1,32.0,1.3,5.38,0.02,0.025620792,0.001179881,0.046051702,True,5,5,0.0,False,0.0
23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,2076.0,7/2,1,1.1,0.04,5.82,0.02,0.009302347,0.000428389,0.046051702,True,5,7,0.0,False,1.0
23Ne,23Na,b-,10,13,0.0,5/2,1,11,12,2982.0,3/2,2,0.065,0.003,6.13,0.02,0.004556093,0.000209816,0.046051702,True,5,3,0.0,False,-1.0
24Ne,24Na,b-,10,14,0.0,0,1,11,13,472.2,1,1,92.1,0.2,4.35,0.01,0.274531736,0.006321327,0.023025851,True,0,2,0.0,False,1.0
24Ne,24Na,b-,10,14,0.0,0,1,11,13,1346.63,1,2,7.9,0.2,4.39,0.01,0.250375919,0.005765119,0.023025851,True,0,2,0.0,False,1.0
25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,89.5,3/2,1,76.6,2.0,4.41,0.02,0.239107146,0.011011291,0.046051702,True,1,3,0.0,False,1.0
25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,1069.32,1/2,1,19.5,2.0,4.7,0.06,0.122628822,0.016941798,0.138155106,True,1,1,0.0,False,0.0
25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,2202.0,3/2,2,2.1,0.5,5.26,0.13,0.033774782,0.01011001,0.299336062,True,1,3,0.0,False,1.0
25Ne,25Na,b-,10,15,0.0,1/2,1,11,14,4289.0,1/2,2,0.53,0.15,4.82,0.16,0.093023474,0.034271114,0.368413615,True,1,1,0.0,False,0.0
26Ne,26Na,b-,10,16,0.0,0,1,11,15,82.0,1,1,91.6,0.2,3.87,0.06,0.829072588,0.114540611,0.138155106,True,0,2,0.0,False,1.0
27Ne,27Na,b-,10,17,0.0,3/2,1,11,16,0.0,5/2,1,59.5,0.3,4.4,0.04,0.244676667,0.022535554,0.092103404,True,3,5,0.0,False,1.0
27Ne,27Na,b-,10,17,0.0,3/2,1,11,16,63.0,3/2,1,4.2,1.3,5.54,0.14,0.017725258,0.005713948,0.322361913,True,3,3,0.0,False,0.0
27Ne,27Na,b-,10,17,0.0,3/2,1,11,16,1728.0,1/2,1,3.4,0.5,5.33,0.07,0.028747002,0.004633469,0.161180957,True,3,1,0.0,False,-1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,0.0,1,1,55.0,5.0,4.2,0.1,0.387786384,0.089291115,0.230258509,True,0,2,0.0,False,1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,1932.2,1,2,1.7,0.4,5.3,0.1,0.030802967,0.007092645,0.230258509,True,0,2,0.0,False,1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,2118.4,1,3,20.1,1.2,4.2,0.1,0.387786384,0.089291115,0.230258509,True,0,2,0.0,False,1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,2714.3,1,4,8.5,0.6,4.5,0.1,0.194353585,0.044751567,0.230258509,True,0,2,0.0,False,1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,3286.4,1,5,1.3,0.3,5.2,0.1,0.038778638,0.008929111,0.230258509,True,0,2,0.0,False,1.0
28Ne,28Na,b-,10,18,0.0,0,1,11,17,3512.5,1,6,0.9,0.2,5.3,0.1,0.030802967,0.007092645,0.230258509,True,0,2,0.0,False,1.0
24Na,24Mg,b-,11,13,472.207,1,1,12,12,0.0,0,1,0.05,0.0,5.8,0.0,0.009740754,0.0,0.0,True,2,0,0.0,False,-1.0
24Na,24Mg,b-,11,13,0.0,4,1,12,12,4122.9,4,1,99.855,0.005,6.11,0.01,0.004770815,0.000109852,0.023025851,False,8,8,0.0,False,0.0
24Na,24Mg,b-,11,13,0.0,4,1,12,12,5235.12,3,1,0.076,0.003,6.6,0.02,0.001543805,7.10949e-05,0.046051702,False,8,6,0.0,False,-1.0
25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,0.0,5/2,1,62.5,2.0,5.26,0.1,0.033774782,0.007776931,0.230258509,True,5,5,0.0,False,0.0
