A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include
28,Al,13,15,2486.2,0.06,2,66 FS 7,865.87,0.15,100.0,13.0,[M1],0.3,0.06,4,66,FS,7,6.600000000000001e-14,7e-15,0.5371479329351467,0.10742958658702935,28Al,1,2,4,2,True
28,Al,13,15,2581.81,0.22,5,313 FS 25,310.2,0.0,6.0,2.0,[M1],0.13,0.05,10,313,FS,25,3.1300000000000003e-13,2.5e-14,0.23276410427189695,0.08952465548919114,28Al,4,8,1,1,True
28,Al,13,15,2656.3,0.04,4,22 FS 3,1642.35,0.1,100.0,5.0,[M1],0.16,0.03,8,22,FS,3,2.2e-14,3.0000000000000002e-15,0.2864788975654116,0.053714793293514675,28Al,3,6,2,2,True
30,Al,13,17,687.52,0.12,1,0.7 PS 0.2,443.63,0.08,100.0,2.0,(M1),0.35,0.1,2,0.7,PS,0.2,6.999999999999999e-13,2e-13,0.6266725884243378,0.17904931097838228,30Al,2,4,1,1,True
30,Al,13,17,1118.9,0.3,3,83 FS 55,875.1,0.5,100.0,4.0,M1,0.4,0.3,6,83,FS,55,8.300000000000001e-14,5.5000000000000005e-14,0.7161972439135291,0.5371479329351467,30Al,2,4,2,1,True
27,Si,14,13,957.4,0.2,3/2,1.20 PS 0.08,176.4,0.0,6.42,0.29,(M1),0.17,0.06,3,1.20,PS,0.08,1.2e-12,8e-14,0.30438382866324987,0.10742958658702935,27Si,1/2,1,1,1,True
27,Si,14,13,2909.9,0.2,9/2,52 FS 6,746.2,0.0,6.4,2.2,(M1),0.061,0.023,9,52,FS,6,5.2000000000000006e-14,6.0000000000000005e-15,0.10922007969681317,0.04118134152502792,27Si,7/2,7,1,1,True
27,Si,14,13,4289.2,0.9,5/2,3.5 FS 1.4,4288.8,0.0,100.0,8.0,M1,0.041,0.018,5,3.5,FS,1.4,3.5e-15,1.4e-15,0.07341021750113673,0.0322288759761088,27Si,5/2,5,3,1,True
28,Si,14,14,8588.71,0.1,3,11 FS 2,789.7,0.0,0.59,0.1,[M1],0.021,0.006,6,11,FS,2,1.1e-14,2e-15,0.03760035530546028,0.010742958658702936,28Si,3,6,3,2,True
28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,3105.0,0.0,4.48,0.23,(M1),0.027,0.008,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.048343313964163206,0.014323944878270581,28Si,3,6,6,1,True
28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1448.0,0.0,3.14,0.23,(M1),0.18,0.06,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.32228875976108806,0.10742958658702935,28Si,2,4,6,4,True
28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1122.7,0.0,0.6,0.18,(M1),0.08,0.03,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.1432394487827058,0.053714793293514675,28Si,2,4,6,5,True
29,Si,14,15,4895.2,0.4,5/2,12 FS 5,3621.6,0.4,100.0,7.0,(M1),0.021,0.009,5,12,FS,5,1.2000000000000001e-14,5.000000000000001e-15,0.03760035530546028,0.0161144379880544,29Si,3/2,3,3,1,True
30,Si,14,16,3769.48,0.04,1,36 FS 9,3769.22,0.05,85.0,3.0,M1,0.0052,0.0014,2,36,FS,9,3.6000000000000004e-14,9.000000000000001e-15,0.009310564170875876,0.0025066903536973516,30Si,0,0,1,1,True
30,Si,14,16,5372.2,0.6,0,59 FS 21,1602.8,0.9,66.0,20.0,M1,0.036,0.019,0,59,FS,21,5.9e-14,2.1000000000000002e-14,0.0644577519522176,0.03401936908589263,30Si,1,2,3,1,True
30,P,15,15,3019.2,0.1,1,2 FS 1,2342.2,0.1,100.0,0.0,M1,0.9,0.5,2,2,FS,1,2e-15,1e-15,1.6114437988054404,0.8952465548919113,30P,0,0,3,1,True
31,P,15,16,3134.3,0.4,1/2,7.2 FS 0.6,3134.3,0.0,100.0,0.3,M1,0.097,0.008,1,7.2,FS,0.6,7.2e-15,6e-16,0.1736778316490308,0.014323944878270581,31P,1/2,1,2,1,True
32,P,15,17,78.06,0.02,2,278 PS 9,78.05,0.02,100.0,0.0,(M1),0.165,0.006,4,278,PS,9,2.7799999999999997e-10,9e-12,0.2954313631143307,0.010742958658702936,32P,1,2,1,1,True
32,P,15,17,512.7,0.03,0,1.83 PS 0.08,512.69,0.03,100.0,0.0,M1,0.088,0.004,0,1.83,PS,0.08,1.83e-12,8e-14,0.15756339366097638,0.007161972439135291,32P,1,2,1,1,True
32,P,15,17,1149.39,0.03,1,183 FS 12,636.68,0.05,100.0,4.0,M1,0.232,0.019,2,183,FS,12,1.83e-13,1.2000000000000001e-14,0.41539440146984685,0.03401936908589263,32P,0,0,2,1,True
32,P,15,17,2657.53,0.09,2,8.3 FS 2.8,902.51,0.14,10.0,3.0,(M1),0.24,0.11,4,8.3,FS,2.8,8.300000000000002e-15,2.8e-15,0.4297183463481174,0.19695424207622048,32P,3,6,4,1,True
32,P,15,17,2740.36,0.06,1,14 FS 5,2227.57,0.07,100.0,1.5,M1,0.09,0.04,2,14,FS,5,1.4e-14,5.000000000000001e-15,0.16114437988054403,0.0716197243913529,32P,0,0,4,1,True
32,P,15,17,5072.44,0.06,0,104 FS 34,3922.79,0.07,100.0,1.0,M1,0.003,0.001,0,104,FS,34,1.0400000000000001e-13,3.4e-14,0.005371479329351468,0.0017904931097838226,32P,1,2,3,2,True
32,P,15,17,5072.44,0.06,0,104 FS 34,2842.6,0.09,11.0,0.6,M1,0.0009,3.0E-4,0,104,FS,34,1.0400000000000001e-13,3.4e-14,0.0016114437988054404,0.0005371479329351468,32P,1,2,3,3,True
33,P,15,18,2538.6,0.3,3/2,35 FS 7,1106.8,0.3,9.4,1.2,[M1],0.037,0.015,3,35,FS,7,3.5e-14,7e-15,0.06624824506200143,0.026857396646757337,33P,3/2,3,2,1,True
33,P,15,18,2538.6,0.3,3/2,35 FS 7,691.0,0.4,8.2,1.2,[M1],0.13,0.06,3,35,FS,7,3.5e-14,7e-15,0.23276410427189695,0.10742958658702935,33P,5/2,5,2,1,True
33,P,15,18,3276.1,0.4,3/2,0.14 PS 0.03,1843.9,0.0,10.0,0.0,[M1],0.0006,6.0E-4,3,0.14,PS,0.03,1.4e-13,3e-14,0.0010742958658702935,0.0010742958658702935,33P,3/2,3,3,1,True
33,P,15,18,4048.4,0.5,5/2,62 FS 21,1509.6,0.6,14.0,5.0,[M1],0.01,0.006,5,62,FS,21,6.2e-14,2.1000000000000002e-14,0.017904931097838226,0.010742958658702936,33P,3/2,3,3,2,True
33,P,15,18,4048.4,0.5,5/2,62 FS 21,772.4,0.0,9.0,4.0,[M1],0.05,0.03,5,62,FS,21,6.2e-14,2.1000000000000002e-14,0.08952465548919114,0.053714793293514675,33P,3/2,3,3,3,True
33,S,16,17,2313.399,0.014,3/2,109 FS 17,346.19,0.14,1.6,0.3,(M1),0.055,0.014,3,109,FS,17,1.09e-13,1.7e-14,0.09847712103811024,0.025066903536973516,33S,5/2,5,2,1,True
33,S,16,17,3831.6,0.3,5/2,30 FS 8,862.4,0.0,19.0,7.0,[M1],0.12,0.06,5,30,FS,8,3.0000000000000005e-14,8e-15,0.2148591731740587,0.10742958658702935,33S,7/2,7,3,1,True
33,Cl,17,16,810.55,0.16,1/2,1.2 PS 0.2,810.55,0.16,100.0,0.0,[M1],0.034,0.006,1,1.2,PS,0.2,1.2e-12,2e-13,0.060876765732649975,0.010742958658702936,33Cl,3/2,3,1,1,True
34,Cl,17,17,461.0,0.04,1,5.2 PS 0.4,461.0,0.04,100.0,0.0,M1,0.043,0.004,2,5.2,PS,0.4,5.2000000000000005e-12,4e-13,0.07699120372070437,0.007161972439135291,34Cl,0,0,1,1,True
34,Cl,17,17,665.56,0.04,1,9.2 PS 0.4,665.55,0.05,100.0,6.0,M1,0.0068,8.0E-4,2,9.2,PS,0.4,9.2e-12,4e-13,0.012175353146529993,0.001432394487827058,34Cl,0,0,2,1,True
34,Cl,17,17,2580.4,0.2,1,33 FS 8,2580.3,0.0,100.0,0.0,M1,0.038,0.01,2,33,FS,8,3.3000000000000005e-14,8e-15,0.06803873817178525,0.017904931097838226,34Cl,0,0,3,1,True
35,Cl,17,18,3967.5,0.23,1/2,10 FS 3,2748.5,0.6,100.0,6.0,[M1],0.079,0.025,1,10,FS,3,1.0000000000000002e-14,3.0000000000000002e-15,0.14144895567292198,0.04476232774459557,35Cl,1/2,1,2,1,True
38,K,19,19,458.53,0.16,1,7.0 PS 0.6,328.1,0.2,100.0,0.3,M1,0.088,0.009,2,7.0,PS,0.6,7e-12,6e-13,0.15756339366097638,0.0161144379880544,38K,0,0,1,1,True
38,K,19,19,1697.65,0.25,1,48 FS 10,1567.4,0.2,100.0,0.0,M1,0.119,0.032,2,48,FS,10,4.8000000000000004e-14,1.0000000000000002e-14,0.21306868006427487,0.057295779513082325,38K,0,0,2,1,True
39,K,19,20,4095.6,0.4,1/2,60 FS 10,1572.5,0.3,100.0,1.3,[M1],0.08,0.018,1,60,FS,10,6.000000000000001e-14,1.0000000000000002e-14,0.1432394487827058,0.0322288759761088,39K,1/2,1,2,1,False
39,Ca,20,19,4020.7,1.7,1/2,0.42 PS 0.12,1553.8,0.0,100.0,13.0,[M1],0.011,0.007,1,0.42,PS,0.12,4.2e-13,1.2e-13,0.019695424207622048,0.012533451768486758,39Ca,1/2,1,2,1,False
