A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include
22,Na,11,11,4360.0,0.4,2,5.0 FS 1.4,2408.1,0.3,100.0,5.0,M1,0.24,0.07,4,5.0,FS,1.4,5.000000000000001e-15,1.4e-15,0.4297183463481174,0.12533451768486759,22Na,2,4,3,1,True
22,Na,11,11,4710.0,0.4,5,37 FS 14,638.6,0.0,83.0,6.0,M1,1.0,0.4,10,37,FS,14,3.7e-14,1.4e-14,1.7904931097838226,0.7161972439135291,22Na,4,8,3,2,True
22,Na,11,11,4770.0,2.0,3,5.9 PS 1.4,2818.0,0.0,100.0,0.0,M1,0.00017,4.0E-5,6,5.9,PS,1.4,5.9e-12,1.3999999999999999e-12,0.00030438382866324987,7.161972439135291e-05,22Na,2,4,4,1,True
22,Na,11,11,5100.4,1.3,4,38 FS 12,1029.0,0.0,100.0,9.0,[M1],0.2,0.07,8,38,FS,12,3.8e-14,1.2000000000000001e-14,0.35809862195676456,0.12533451768486759,22Na,4,8,3,2,True
23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,2981.7,0.8,100.0,0.3,M1,0.147,0.018,3,3.3,FS,0.4,3.3e-15,4.0000000000000004e-16,0.2632024871382219,0.0322288759761088,23Na,3/2,3,2,1,True
23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,591.0,1.0,0.51,0.17,[M1],0.1,0.04,3,3.3,FS,0.4,3.3e-15,4.0000000000000004e-16,0.17904931097838228,0.0716197243913529,23Na,1/2,1,2,1,True
23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,1838.0,1.0,11.3,0.3,M1,0.046,0.01,5,6.9,FS,1.4,6.900000000000001e-15,1.4e-15,0.08236268305005584,0.017904931097838226,23Na,7/2,7,2,1,True
23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,4429.2,0.0,100.0,3.0,M1,1.1,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.969542420762205,0.2148591731740587,23Na,3/2,3,2,1,True
23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,2038.6,0.0,9.9,0.3,[M1],1.11,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.9874473518600433,0.2148591731740587,23Na,1/2,1,2,1,True
23,Na,11,12,6115.1,0.6,11/2,35 FS 9,3411.0,1.0,100.0,0.9,M1,0.012,0.004,11,35,FS,9,3.5e-14,9.000000000000001e-15,0.021485917317405873,0.007161972439135291,23Na,9/2,9,2,1,True
